customer_id,attribute,value,valid_from,valid_to,knowledge_from,knowledge_to
CUST0000,risk_tier,A,2020-01-01,2022-09-05,2020-01-01,2200-01-01
CUST0000,risk_tier,C,2022-09-05,2022-10-01,2022-09-17,2200-01-01
CUST0000,risk_tier,C,2022-10-01,2024-12-31,2022-10-27,2200-01-01
CUST0000,sector,Industrials,2020-01-01,2021-06-30,2020-01-21,2200-01-01
CUST0000,sector,Industrials,2021-06-30,2022-07-16,2021-07-28,2200-01-01
CUST0000,sector,Technology,2022-07-16,2023-01-30,2022-07-31,2200-01-01
CUST0000,sector,Financials,2023-01-30,2024-12-31,2023-02-17,2200-01-01
CUST0001,risk_tier,A,2020-01-01,2020-05-08,2020-01-21,2200-01-01
CUST0001,risk_tier,A,2020-05-08,2024-12-31,2020-05-24,2200-01-01
CUST0001,sector,Materials,2020-01-01,2020-06-22,2020-01-27,2200-01-01
CUST0001,sector,Technology,2020-06-22,2023-08-21,2020-06-22,2024-07-12
CUST0001,sector,Technology,2020-06-22,2021-07-31,2024-07-12,2200-01-01
CUST0001,sector,Energy,2021-07-31,2022-11-05,2024-07-12,2200-01-01
CUST0001,sector,Technology,2022-11-05,2023-08-21,2024-07-12,2200-01-01
CUST0001,sector,Industrials,2023-08-21,2024-12-31,2023-09-06,2200-01-01
CUST0002,risk_tier,A,2020-01-01,2023-04-22,2020-01-17,2200-01-01
CUST0002,risk_tier,B,2023-04-22,2023-05-17,2023-05-03,2200-01-01
CUST0002,risk_tier,C,2023-05-17,2023-12-17,2023-05-26,2200-01-01
CUST0002,risk_tier,C,2023-12-17,2024-12-31,2023-12-30,2200-01-01
CUST0002,sector,Healthcare,2020-01-01,2021-06-10,2020-01-25,2200-01-01
CUST0002,sector,Healthcare,2021-06-10,2022-12-28,2021-07-10,2200-01-01
CUST0002,sector,Materials,2022-12-28,2024-12-31,2023-01-08,2200-01-01
CUST0003,risk_tier,B,2020-01-01,2022-07-05,2020-01-13,2200-01-01
CUST0003,risk_tier,C,2022-07-05,2024-12-31,2022-07-15,2200-01-01
CUST0003,sector,Materials,2020-01-01,2023-06-09,2020-01-21,2200-01-01
CUST0003,sector,Energy,2023-06-09,2024-03-05,2023-06-26,2200-01-01
CUST0003,sector,Healthcare,2024-03-05,2024-12-31,2024-03-12,2200-01-01
CUST0004,risk_tier,C,2020-01-01,2020-12-23,2020-01-08,2200-01-01
CUST0004,risk_tier,C,2020-12-23,2024-01-18,2021-01-15,2200-01-01
CUST0004,risk_tier,C,2024-01-18,2024-12-31,2024-01-19,2200-01-01
