txn_id,customer_id,event_date,processing_date
T000000,CUST0000,2020-05-19,2020-06-03
T000001,CUST0000,2021-06-30,2021-07-24
T000002,CUST0000,2021-12-23,2021-12-27
T000003,CUST0000,2021-11-22,2021-12-08
T000004,CUST0000,2023-11-09,2023-12-03
T000005,CUST0000,2024-06-21,2024-07-03
T000006,CUST0000,2022-02-07,2022-03-21
T000007,CUST0000,2020-10-25,2020-11-10
T000008,CUST0000,2024-07-12,2024-08-14
T000009,CUST0000,2020-09-19,2020-09-24
T000010,CUST0000,2023-01-15,2023-02-24
T000011,CUST0000,2022-08-03,2022-08-26
T000012,CUST0000,2021-12-31,2022-01-29
T000013,CUST0000,2020-09-22,2020-10-26
T000014,CUST0001,2020-08-20,2020-10-01
T000015,CUST0001,2024-02-17,2024-02-28
T000016,CUST0001,2022-07-13,2022-08-25
T000017,CUST0001,2021-08-20,2021-09-13
T000018,CUST0001,2021-06-20,2021-07-22
T000019,CUST0001,2022-09-03,2022-09-26
T000020,CUST0001,2022-07-25,2022-08-01
T000021,CUST0001,2024-07-16,2024-07-19
T000022,CUST0001,2021-06-27,2021-06-28
T000023,CUST0001,2021-04-04,2021-04-06
T000024,CUST0001,2022-09-23,2022-10-13
T000025,CUST0001,2021-07-01,2021-07-17
T000026,CUST0001,2022-08-09,2022-09-10
T000027,CUST0001,2021-11-22,2021-12-10
T000028,CUST0001,2021-04-19,2021-05-11
T000029,CUST0002,2020-09-03,2020-09-16
T000030,CUST0002,2023-08-06,2023-08-11
T000031,CUST0002,2021-07-12,2021-07-27
T000032,CUST0002,2023-10-26,2023-11-17
T000033,CUST0002,2023-06-02,2023-07-08
T000034,CUST0002,2023-03-20,2023-03-28
T000035,CUST0002,2020-01-26,2020-02-19
T000036,CUST0002,2024-01-30,2024-02-04
T000037,CUST0002,2023-02-03,2023-03-06
T000038,CUST0002,2023-01-12,2023-02-01
T000039,CUST0002,2024-03-06,2024-04-07
T000040,CUST0002,2021-01-18,2021-02-01
T000041,CUST0002,2022-12-19,2023-01-21
T000042,CUST0002,2024-11-13,2024-12-10
T000043,CUST0003,2021-05-25,2021-07-06
T000044,CUST0003,2024-05-22,2024-06-15
T000045,CUST0003,2022-04-11,2022-04-14
T000046,CUST0003,2022-07-28,2022-08-27
T000047,CUST0003,2024-11-25,2025-01-02
T000048,CUST0003,2022-04-18,2022-05-01
T000049,CUST0003,2023-01-27,2023-02-17
T000050,CUST0003,2021-08-04,2021-08-17
T000051,CUST0003,2022-06-11,2022-06-19
T000052,CUST0003,2021-05-25,2021-07-03
T000053,CUST0003,2024-09-15,2024-10-16
T000054,CUST0003,2020-04-09,2020-05-03
T000055,CUST0003,2021-12-30,2022-02-06
T000056,CUST0003,2022-01-29,2022-02-09
T000057,CUST0003,2024-03-03,2024-04-03
T000058,CUST0003,2020-11-19,2021-01-01
T000059,CUST0003,2021-03-11,2021-04-17
T000060,CUST0004,2023-07-04,2023-07-22
T000061,CUST0004,2024-04-15,2024-05-08
T000062,CUST0004,2021-09-07,2021-09-29
T000063,CUST0004,2021-10-18,2021-11-17
T000064,CUST0004,2020-01-18,2020-02-05
T000065,CUST0004,2023-06-21,2023-07-01
T000066,CUST0004,2024-04-23,2024-04-25
T000067,CUST0004,2022-02-06,2022-02-08
T000068,CUST0004,2024-06-02,2024-06-03
T000069,CUST0004,2024-02-15,2024-02-17
T000070,CUST0004,2023-11-01,2023-12-08
T000071,CUST0004,2021-10-25,2021-11-29
T000072,CUST0005,2021-02-12,2021-03-12
T000073,CUST0005,2024-03-31,2024-05-13
T000074,CUST0005,2020-09-23,2020-09-29
T000075,CUST0005,2022-06-27,2022-08-02
T000076,CUST0005,2020-07-14,2020-08-03
T000077,CUST0005,2024-09-13,2024-09-24
T000078,CUST0005,2023-02-15,2023-02-16
T000079,CUST0005,2023-04-10,2023-05-22
T000080,CUST0005,2024-03-08,2024-03-09
T000081,CUST0005,2022-07-03,2022-08-11
T000082,CUST0005,2024-06-20,2024-07-07
T000083,CUST0005,2021-06-24,2021-08-04
T000084,CUST0005,2022-04-12,2022-04-26
T000085,CUST0005,2024-04-04,2024-05-04
T000086,CUST0005,2023-05-19,2023-06-04
T000087,CUST0005,2024-05-28,2024-06-12
T000088,CUST0005,2022-10-22,2022-11-20
T000089,CUST0006,2023-11-17,2023-12-19
T000090,CUST0006,2020-09-14,2020-10-10
T000091,CUST0006,2020-06-03,2020-07-13
T000092,CUST0006,2021-03-09,2021-04-11
T000093,CUST0006,2020-09-24,2020-09-29
T000094,CUST0006,2021-03-19,2021-03-30
T000095,CUST0006,2024-08-13,2024-09-27
T000096,CUST0006,2024-07-13,2024-07-19
T000097,CUST0006,2023-02-02,2023-03-05
T000098,CUST0006,2024-07-13,2024-07-17
T000099,CUST0006,2021-06-18,2021-07-28
T000100,CUST0006,2020-06-20,2020-07-11
T000101,CUST0006,2021-10-29,2021-12-02
T000102,CUST0007,2020-05-05,2020-05-06
T000103,CUST0007,2021-12-30,2022-02-08
T000104,CUST0007,2023-05-03,2023-05-24
T000105,CUST0007,2023-07-03,2023-08-06
T000106,CUST0007,2024-03-06,2024-03-30
T000107,CUST0007,2021-05-11,2021-05-15
T000108,CUST0007,2024-07-22,2024-08-24
T000109,CUST0007,2023-08-04,2023-08-09
T000110,CUST0007,2021-12-02,2022-01-14
T000111,CUST0007,2020-09-06,2020-09-29
T000112,CUST0007,2020-07-02,2020-07-31
T000113,CUST0007,2024-11-21,2024-11-21
T000114,CUST0007,2021-09-19,2021-09-25
T000115,CUST0007,2024-08-22,2024-09-28
T000116,CUST0007,2024-07-06,2024-07-08
T000117,CUST0007,2024-10-21,2024-10-22
T000118,CUST0007,2023-12-14,2023-12-17
T000119,CUST0007,2022-09-14,2022-09-22
T000120,CUST0008,2023-10-02,2023-10-06
T000121,CUST0008,2023-04-29,2023-06-13
