gl_account,memo,amount_dr,amount_cr,related_party
OperatingExpense,E07-001,5000,0,EXTERNAL
CostOfSales,E07-002,25000,0,EXTERNAL
IntercoPayable,E07-003,0,3000.0,USD-00
IntercoPayable,E07-004,0,1800.0,USD-00
IntercoPayable,E07-005,0,1200.0,USD-00
IntercoExpense,E07-006,3000.0,0,USD-00
IntercoExpense,E07-007,1800.0,0,USD-00
IntercoExpense,E07-008,1200.0,0,USD-00
IntercoReceivable,E07-009,11000.0,0,EUR-12
IntercoReceivable,E07-010,6600.0,0,EUR-12
IntercoReceivable,E07-011,4400.0,0,EUR-12
IntercoRevenue,E07-012,0,11000.0,EUR-12
IntercoRevenue,E07-013,0,6600.0,EUR-12
IntercoRevenue,E07-014,0,4400.0,EUR-12
IntercoReceivable,E07-015,13000.0,0,GBP-14
IntercoReceivable,E07-016,7800.0,0,GBP-14
IntercoReceivable,E07-017,5200.0,0,GBP-14
IntercoRevenue,E07-018,0,13000.0,GBP-14
IntercoRevenue,E07-019,0,7800.0,GBP-14
IntercoRevenue,E07-020,0,5200.0,GBP-14
Cash,E07-021,0,30000,EXTERNAL
Equity,E07-022,0,0,EXTERNAL
