company_id,analysis_entity_id
C0001,E_G0316
C0004,E_G0291
C0007,E_G0051
C0024,E_G0024
C0027,E_G0014
C0036,E_G0282
C0048,E_G0024
C0057,E_G0068
C0059,E_G0185
C0060,E_G0102
C0065,E_G0181
C0068,E_G0227
C0079,E_G0176
C0084,E_G0063
C0093,E_G0002
C0102,E_G0045
C0104,E_G0179
C0114,E_G0023
C0115,E_G0325
C0117,E_G0025
C0136,E_G0081
C0146,E_G0209
C0147,E_G0082
C0151,E_G0153
C0159,E_G0042
C0163,E_G0045
C0166,E_G0045
C0167,E_G0089
C0171,E_G0059
C0182,E_G0252
C0187,E_G0283
C0193,E_G0226
C0203,E_G0053
C0205,E_G0236
C0207,E_G0309
C0215,E_G0184
C0218,E_G0042
C0231,E_G0010
C0236,E_G0132
C0237,E_G0010
C0239,E_G0055
C0241,E_G0002
C0244,E_G0299
C0250,E_G0220
C0251,E_G0015
C0252,E_G0139
C0253,E_G0102
C0259,E_G0008
C0260,E_G0232
C0263,E_G0025
C0267,E_G0066
C0278,E_G0081
C0280,E_G0292
C0287,E_G0174
C0291,E_G0119
C0292,E_G0053
C0298,E_G0024
C0299,E_G0211
C0308,E_G0275
C0310,E_G0200
C0313,E_G0126
C0316,E_G0190
C0319,E_G0055
C0320,E_G0119
C0321,E_G0278
C0322,E_G0055
C0323,E_G0063
C0324,E_G0173
C0335,E_G0066
C0338,E_G0003
C0339,E_G0068
C0341,E_G0051
C0351,E_G0224
C0364,E_G0014
C0368,E_G0089
C0369,E_G0276
C0370,E_G0147
C0372,E_G0006
C0380,E_G0241
C0385,E_G0023
C0401,E_G0180
C0403,E_G0151
C0406,E_G0138
C0412,E_G0212
C0413,E_G0003
C0414,E_G0192
C0416,E_G0152
C0428,E_G0296
C0435,E_G0003
C0445,E_G0166
C0459,E_G0015
C0466,E_G0195
C0478,E_G0206
C0483,E_G0018
C0484,E_G0014
C0495,E_G0235
C0496,E_G0044
C0497,E_G0008
